bce_loss: tf.Tensor(0.7376239, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.009698971, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762375, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008983918, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74452037, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.00746957, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445203, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0062378496, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.76521033, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0078069023, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7376231, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008209296, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451965, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0089999605, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7307261, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008407136, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73072594, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008124412, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652094, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0074459626, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762244, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.008937837, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.73762226, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.007866925, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7445189, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0074907527, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.74451864, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.006524056, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652084, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.0071506826, shape=(), dtype=float32) 
bce_loss: tf.Tensor(0.7652202, shape=(), dtype=float32), euclidian_loss:  tf.Tensor(0.012151828, shape=(), dtype=float32) 
